,Unnamed: 0,min_A,min_B,min_C,avg_A,avg_B,avg_C,max_A,max_B,max_C,std_A,std_B,std_C,state_AA,lb_AA,ub_AA,state_AB,lb_AB,ub_AB,state_AC,lb_AC,ub_AC,state_BA,lb_BA,ub_BA,state_BC,lb_BC,ub_BC,state_CB,lb_CB,ub_CB,state_CC,lb_CC,ub_CC,Adj,k_max,params,path,adj_tup,index,type,estimated_params,original_params,euclidian_dist,search_alg,Has_closer_est,closer_est_index,b_C,V_C,K_AC,K_BC,K_CC,b_C_est,V_C_est,K_AC_est,K_BC_est,K_CC_est,b_C_est_ratio,V_C_est_ratio,K_AC_est_ratio,K_BC_est_ratio,K_CC_est_ratio,bad_estimates,list_of_bad_estimates,loss,loss_hat,loss_ratio,loss_A_alienor_mesh,b_A_alienor_mesh,V_A_alienor_mesh,K_AA_alienor_mesh,K_BA_alienor_mesh,loss_B_alienor_mesh,b_B_alienor_mesh,V_B_alienor_mesh,K_AB_alienor_mesh,K_CB_alienor_mesh,loss_C_alienor_mesh,b_C_alienor_mesh,V_C_alienor_mesh,K_AC_alienor_mesh,K_BC_alienor_mesh,K_CC_alienor_mesh,b_A,V_A,K_AA,K_BA,b_B,V_B,K_AB,K_CB,b_A_alienor_mesh_est_ratio,V_A_alienor_mesh_est_ratio,K_AA_alienor_mesh_est_ratio,K_BA_alienor_mesh_est_ratio,b_B_alienor_mesh_est_ratio,V_B_alienor_mesh_est_ratio,K_AB_alienor_mesh_est_ratio,K_CB_alienor_mesh_est_ratio,b_C_alienor_mesh_est_ratio,V_C_alienor_mesh_est_ratio,K_AC_alienor_mesh_est_ratio,K_BC_alienor_mesh_est_ratio,K_CC_alienor_mesh_est_ratio,bad_estimates_A_alienor_mesh,list_of_bad_estimates_A_alienor_mesh,bad_estimates_B_alienor_mesh,list_of_bad_estimates_B_alienor_mesh,bad_estimates_C_alienor_mesh,list_of_bad_estimates_C_alienor_mesh
0,0,0.8793113491557626,27.46709964987231,2.000049607891685,3.85994209665612,31.707844789270883,2.000238399428164,6.759598103256987,35.970981738090444,2.00054297012842,1.4901104922678814,1.987235214166405,0.0001301418991428,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,4.450044500445005,140.54140541405414,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",8.430177055552395,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 0.5, 0.5, 50.0, 25.0, 5.0, 1.0, 0.5, 10.0, 10.0, 5.0)",outputs_second_search/solution_10_0_24.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",0,labyrinth,"(1.0000040060693434, 479.805862328772, 4.934192644164136, 2.101689285070666, 5.592490467138947)","(1.0, 10.0, 5.0, 5.0, 5.0)",469.8151805327741,L_BFGS_B,True,5,1.0,10.0,5.0,5.0,5.0,1.0000040060693434,479.805862328772,4.934192644164136,2.101689285070666,5.592490467138947,0.9999959939467052,0.020841762856886,1.0133370057842588,2.379038631217974,0.8940560613164428,2,"('V_C', 'K_BC')",9.617465912273296e-08,2.2768040442613975e-08,0.763263622140229,2.2090611278138876,0.03671103196849981,500.0,5.190988384021918,7.369304730243918,68.82388124655259,0.6180162882151271,49.533659004710266,4.991521174754427,29.99185483932431,9.774337928581845e-07,0.9998860490384139,77.08107264555717,10.012247148570262,14.320970476478015,21.465863364166513,0.001,5.0,5.0,25.0,0.5,50.0,5.0,10.0,0.02723976816718358,0.01,0.9632077034481933,3.392450294177551,0.8090401653393859,1.0094146284498262,1.001698645552874,0.3334238596970113,1.0001139639478875,0.12973353453425748,0.4993883916173598,0.34913834982150316,0.2329279710382682,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",4,"('V_C', 'K_AC', 'K_BC', 'K_CC')"
1,1,0.1164364281858937,4.861978395033702,2.0073917025184462,2.5924158882086368,5.722580097733872,2.1022080316611453,7.983336448306287,6.991983663335906,2.1861695921713657,2.202454576420158,0.485618608538163,0.0495350712592535,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",30.49763839408395,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 1.0, 0.5, 10.0, 5.0, 5.0, 20.0, 10.0, 100.0, 10.0, 5.0)",outputs_second_search/solution_10_0_26.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",1,in-between,"(20.000304386347153, 85.2389610668721, 4.997341212844149, 4.9936903459814115, 4.794073646196861)","(20.0, 100.0, 5.0, 5.0, 5.0)",14.762476859322849,L_BFGS_B,True,27,20.0,100.0,5.0,5.0,5.0,20.000304386347157,85.2389610668721,4.997341212844149,4.993690345981412,4.794073646196861,0.9999847809142663,1.1731724407286883,1.0005320403475788,1.0012635252851965,1.0429543576091076,0,(),0.0016473572401744,0.0015268961979093,0.0731238126906706,2.7388784515781883,0.006506298310104167,7.263443134499434,5.048801237078928,4.430774025032056,17.497118938332395,1.016976751214919,9.865853829175014,4.971886968873706,104.75085351638982,0.00043416301726603875,12.645482215056434,22.492028586771752,52.61983441524309,499.9999976875899,2.395143187626629,0.001,5.0,5.0,5.0,1.0,10.0,5.0,10.0,0.1536972257246517,0.6883787629934517,0.9903340942161623,1.12847100117317,0.9833066476744547,1.013597015843504,1.005654398682491,0.09546461593685585,1.5815925134264042,4.446019602643269,0.09502120361198976,0.010000000046248203,2.087557865362759,2,"('b_A', 'V_A')",1,"('K_CB',)",5,"('b_C', 'V_C', 'K_AC', 'K_BC', 'K_CC')"
2,2,0.4188299292998592,10.480203729773422,2.032848206950105,3.306252219903573,12.188667058233731,9.855274776147226,7.779957202935182,14.042249362032358,20.05668678134972,1.93600856155578,0.9236933633288132,7.000236229235519,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,17.790177901779018,562.1956219562196,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",7.155637806089962,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 1.0, 0.5, 20.0, 10.0, 10.0, 1.0, 0.5, 20.0, 100.0, 5.0)",outputs_second_search/solution_10_0_27.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",2,in-between,"(1.0716883910856319, 18.63238110891544, 5.166049192289773, 10.298392269161836, 6.531837435690411)","(1.0, 20.0, 5.0, 10.0, 5.0)",2.0829442783248,L_BFGS_B,True,10,1.0,20.0,5.0,10.0,5.0,1.071688391085632,18.63238110891544,5.166049192289773,10.298392269161836,6.531837435690411,0.9331070564149616,1.0734001136564433,0.9678576052784016,0.9710253541171314,0.7654813900725169,1,"('K_CC',)",349.4342182299661,173.77872778438316,0.5026854305664545,2.2189177091734615,0.012104367614935881,10.737829547667449,5.080857426668726,7.932488343816201,35.95480360621245,1.0401706956908694,19.787489846188695,4.979483874940214,500.0,541.8783935825835,1.1229305187790297,17.227886044583013,4.751283418015278,10.674212003603744,7.0501966719554465,0.001,5.0,5.0,10.0,1.0,20.0,5.0,100.0,0.08261480746553625,0.4656434503643371,0.9840858697895524,1.2606384739027743,0.9613806696753858,1.0107396216227111,1.0041201308358554,0.2,0.8905270480023172,1.1609085379508084,1.052347241808744,0.936837304395292,0.7092000737921538,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",1,"('K_CC',)"
3,4,0.5968172216301024,26.80706558153072,10.271111531020722,3.934025158212957,32.08788887565329,10.397189714689183,6.592565730073738,35.59711764127561,10.691463123626178,1.4109939489278005,1.9201413059310064,0.082912193029888,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.4400444004440045,140.55140551405515,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",8.093606128612999,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 25.0, 0.5, 0.5, 50.0, 25.0, 25.0, 5.0, 0.5, 25.0, 25.0, 25.0)",outputs_second_search/solution_10_0_37.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",3,in-between,"(5.007433061584645, 17.039918288137567, 25.461363535507967, 24.56459702422499, 22.585936842792673)","(5.0, 25.0, 25.0, 25.0, 25.0)",8.34224724520481,L_BFGS_B,True,120,5.0,25.0,25.0,25.0,25.0,5.007433061584645,17.039918288137567,25.461363535507967,24.56459702422499,22.585936842792677,0.9985155944186916,1.467143185622192,0.9818798574999898,1.017724816545764,1.1068834635468163,1,"('V_C',)",0.039787572126019,0.0054852164451444,0.8621374426222546,1.3653425762548754,0.03565146072706372,500.0,5.143793328193985,7.3522354380531985,46.10628663548188,0.6161290480295465,48.26235992454064,4.995285733028448,264.1128440496355,0.004281957931101565,5.013485318196202,35.866663877198114,16.888151013492795,24.195027320586444,27.252622078366027,0.001,5.0,5.0,25.0,0.5,50.0,5.0,25.0,0.028049341586749644,0.01,0.9720452749518861,3.40032636476883,0.8115183038343332,1.0360040428643813,1.0009437432057955,0.09465650975800964,0.9973101909469531,0.6970260765148416,1.4803278334038013,1.033270170301839,0.9173429231180574,3,"('b_A', 'V_A', 'K_BA')",1,"('K_CB',)",2,"('V_C', 'K_AC')"
4,5,0.1644073732627528,9.032557538013425,4.085822564319497,2.588992582525192,11.224012209607352,4.251898301247103,7.6723525979975955,14.041682469931589,4.455098613393734,2.080805535298003,1.1991440568863567,0.0855181351116217,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,3.560035600356004,112.43112431124312,Active,1.770017700177002,56.22056220562206,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",21.320663081660705,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 10.0, 1.0, 0.5, 25.0, 10.0, 10.0, 20.0, 5.0, 100.0, 20.0, 10.0)",outputs_second_search/solution_10_0_39.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",4,in-between,"(20.008009285043443, 51.44384813881125, 9.930328343292416, 9.890003320575639, 8.35776429162995)","(20.0, 100.0, 10.0, 10.0, 10.0)",48.584090392293525,L_BFGS_B,True,29,20.0,100.0,10.0,10.0,10.0,20.008009285043443,51.44384813881125,9.930328343292416,9.89000332057564,8.35776429162995,0.9995996960552478,1.943867024297432,1.0070160476369994,1.0111220063187965,1.196492225799512,1,"('V_C',)",0.0051936361767481,0.0030704083569019,0.408813353032294,2.273767910660312,0.0077932518550741505,7.738271405684789,5.065018276832254,8.703451370309393,81.93384340403577,1.0410683936833978,26.054509745067946,4.954051808578906,8.275474527621801,0.005011918260616667,19.9998080384533,196.76325908903394,9.998176769379137,10.043679057168804,11.921518923531755,0.001,5.0,5.0,10.0,1.0,25.0,5.0,20.0,0.12831614050159365,0.6461391359738088,0.9871632690587412,1.148969480557288,0.9605516852374185,0.9595267861346897,1.0092748709937844,2.4167798394211943,1.000009598169459,0.5082249626428008,1.000182356309847,0.9956510899123536,0.8388192867153119,2,"('b_A', 'V_A')",1,"('K_CB',)",1,"('V_C',)"
5,7,0.8984375113249949,28.14916752256508,10.28440042566124,4.120258797689463,32.54095478692098,10.369177591742684,6.201927012197223,35.48592341920024,10.561408948860354,1.1155169456130234,1.6191180852261764,0.0519085778172774,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,3.560035600356004,112.43112431124312,Active,4.4400444004440045,140.55140551405515,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",5.392088340438734,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 25.0, 0.5, 0.5, 50.0, 25.0, 25.0, 1.0, 0.1, 5.0, 20.0, 25.0)",outputs_second_search/solution_10_0_44.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",5,labyrinth,"(0.8355945183491891, 461.22577334790077, 46.09245863516542, 78.41357278429396, 71.20383594332267)","(1.0, 5.0, 25.0, 25.0, 25.0)",462.1414061959708,L_BFGS_B,True,120,1.0,5.0,25.0,25.0,25.0,0.8355945183491891,461.2257733479008,46.09245863516542,78.41357278429396,71.20383594332267,1.1967527048593047,0.0108406777958362,0.5423880769277666,0.3188223557772569,0.3511046795273737,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",0.0394546526725011,0.0004347507994768,0.988981000464366,1.1209340944099688,0.0525783064321369,500.0,5.164189754588356,7.297761685829537,18.607816883465432,0.6279593574341561,46.50433277941022,5.005667658242733,269.22697459090205,0.0015891998985341767,1.0056394942644398,4.402076429082485,27.343115396699265,26.24064923459708,26.28811919495065,0.001,5.0,5.0,25.0,0.5,50.0,5.0,20.0,0.019019250863294833,0.01,0.9682060957495852,3.4257079192574715,0.7962298739252832,1.075168635085492,0.9988677517906327,0.07428676131130828,0.9943921312790478,1.1358276214759266,0.9143069338403876,0.952720330068612,0.9509999484787003,3,"('b_A', 'V_A', 'K_BA')",2,"('b_B', 'K_CB')",0,()
6,8,0.0202937297676467,0.4155162137225883,0.2029465772572909,0.0875295278788908,0.5552876676382548,0.2311107957685425,0.3466829290553375,0.8966456744054053,13.738935763023948,0.0705823335698418,0.0901484554309464,0.3591721015638703,Active,0.080000800008,2.8200282002820027,Active,0.080000800008,2.8200282002820027,Active,0.1800018000180002,5.620056200562006,Active,0.0900009000090001,2.810028100281003,Active,0.0900009000090001,2.810028100281003,Active,8.90008900089001,281.0928109281093,Active,0.1700017000170001,5.630056300563006,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",21.278114192070305,"(4.0, 0.001, 0.1, 5.0, 0.5, 0.5, 1.0, 0.1, 1.0, 50.0, 0.5, 0.5, 1.0, 5.0, 100.0, 50.0, 1.0)",outputs_second_search/solution_10_0_4.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",6,spot,"(1.1060929719945531, 549.6796615490723, 0.03905291976599431, 0.26014761094968286, 4.302117268586342)","(1.0, 100.0, 1.0, 0.5, 1.0)",449.69288875133657,L_BFGS_B,True,21,1.0,100.0,1.0,0.5,1.0,1.1060929719945531,549.6796615490723,0.0390529197659943,0.2601476109496828,4.302117268586342,0.904083133442895,0.1819241405406675,25.60628004236342,1.921985745610821,0.2324436870426351,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",2742.119429704949,72.2508243257571,0.9736514669845976,0.0008853196084746761,0.0012400676456669432,22.675165917477834,0.5395348579551659,0.35716398198181626,2.7390429562319256,0.1025147181961562,30.48060545100019,0.42914639577230185,8.908319493175863,155.72754998144075,1.1065893181002708,489.34710195531113,0.011631113271320317,6.0939292725975225,3.931364612398312,0.001,5.0,0.5,0.5,0.1,50.0,0.5,50.0,0.8064076209827827,0.22050555299999108,0.9267241821872219,1.3999171955291274,0.9754696863006108,1.6403873630521766,1.1651035752034882,5.612730890298899,0.9036776188267773,0.20435392301379635,85.97629278237474,0.08204886824800253,0.2543646032846479,2,"('V_A', 'K_BA')",2,"('V_B', 'K_CB')",4,"('V_C', 'K_AC', 'K_BC', 'K_CC')"
7,9,3.739640733888654,6.713232585368553,4.684612002680142,4.743389970091794,6.940871993210038,4.745921646616078,5.259339761925143,7.055100117514177,4.862617912601516,0.2225486701126475,0.0525139072260447,0.0267277568452474,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,1.770017700177002,56.22056220562206,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",17.044873111356765,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 10.0, 1.0, 0.5, 10.0, 5.0, 10.0, 20.0, 5.0, 100.0, 5.0, 10.0)",outputs_second_search/solution_10_0_51.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",7,in-between,"(20.036686508065014, 157.11966064477295, 10.015870790731082, 10.106627328596428, 11.29968575526109)","(20.0, 100.0, 10.0, 10.0, 10.0)",57.134558564895976,L_BFGS_B,True,26,20.0,100.0,10.0,10.0,10.0,20.036686508065014,157.11966064477295,10.015870790731082,10.106627328596428,11.29968575526109,0.9981690331856892,0.636457586463905,0.998415435755644,0.989449761514929,0.8849803628692983,1,"('V_C',)",0.0078008250931874,0.0007011706364362,0.9101158367146834,0.012839695933059617,0.0926353937196874,59.84073775927055,5.3255159564088075,2.5001841605089106,0.0012223023515295567,1.0261819145887356,9.086247297666665,5.059201959350363,5.347338010202615,0.0003813073298363284,19.879620862000404,116.18717327105185,10.257896923926086,10.368029099296441,10.39677112554796,0.001,5.0,5.0,5.0,1.0,10.0,5.0,5.0,0.010795009983181777,0.08355511959284623,0.9388761654132166,1.9998526824449019,0.9744860884639264,1.100564366387869,0.9882981624718604,0.9350446877418443,1.006055404116368,0.8606802040592815,0.9748586941515709,0.9645034658205758,0.9618370818442876,3,"('b_A', 'V_A', 'K_BA')",0,(),0,()
8,10,0.260663326641385,4.858461455821558,2.014824902993612,2.369012949441192,5.564518910784846,2.1145838132337325,6.781962681984712,6.989638679397764,2.186185251497455,1.761791067961428,0.4853693181727037,0.0494202262286003,Active,0.8800088000880009,28.11028110281103,Active,1.770017700177002,56.22056220562206,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",22.37221821669907,"(4.0, 0.001, 0.1, 5.0, 5.0, 10.0, 5.0, 1.0, 0.5, 100.0, 5.0, 5.0, 10.0, 5.0, 50.0, 10.0, 5.0)",outputs_second_search/solution_10_0_53.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",8,labyrinth,"(10.00190985295882, 159.44149790913661, 4.985078820290587, 5.021848176369338, 6.742940222151646)","(10.0, 50.0, 5.0, 5.0, 5.0)",109.45537907679775,L_BFGS_B,True,12,10.0,50.0,5.0,5.0,5.0,10.00190985295882,159.4414979091366,4.985078820290587,5.021848176369338,6.742940222151646,0.9998090511725364,0.3135946454071466,1.0029931682621906,0.9956493753689836,0.7415162874459711,2,"('V_C', 'K_CC')",0.0190264289730728,0.0051852423803673,0.7274715929244631,6.126106456760491,0.020321267894851638,23.430416364824453,5.090975238728394,3.174195667197058,23.111701225700926,1.0226792593328728,74.67798098348396,9.206704920839973,97.11482342326333,0.0001065712922135479,6.379763023072625,11.314802757857764,42.6108022817025,41.50045992269124,2.4136620507584663,0.001,5.0,5.0,5.0,1.0,100.0,10.0,10.0,0.049209527927799646,0.21339782964789245,0.9821300960106187,1.5752022005673016,0.9778236831089473,1.3390828016911216,1.0861649293618993,0.1029708920585295,1.5674563402801431,4.418989978882011,0.11734113727652225,0.12048059248775086,2.0715410421391867,3,"('b_A', 'V_A', 'K_BA')",2,"('V_B', 'K_CB')",5,"('b_C', 'V_C', 'K_AC', 'K_BC', 'K_CC')"
9,11,0.4833154314978966,26.77227766070811,0.200535916177828,0.5267701897576484,26.8960789790738,0.2005588621551782,0.5715759113778472,27.00709376935613,0.2005816154137838,0.0153346750477611,0.049027495219958,8.6570372423531e-06,Active,0.080000800008,2.8200282002820027,Active,0.080000800008,2.8200282002820027,Active,0.1800018000180002,5.620056200562006,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,0.0900009000090001,2.810028100281003,Active,0.080000800008,2.8200282002820027,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",22.430039363159985,"(4.0, 0.001, 0.1, 5.0, 0.5, 0.5, 1.0, 0.001, 0.1, 5.0, 10.0, 5.0, 1.0, 5.0, 100.0, 0.5, 0.5)",outputs_second_search/solution_10_0_6.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",9,in-between,"(1.0024494418535306, 39.99992848005101, 0.09564867169048653, 9.096635505106784, 0.1795138382590185)","(1.0, 100.0, 1.0, 5.0, 0.5)",60.147415352327016,L_BFGS_B,True,30,1.0,100.0,1.0,5.0,0.5,1.0024494418535306,39.99992848005101,0.0956486716904865,9.096635505106784,0.1795138382590185,0.997556543251696,2.500004470004804,10.454928252803564,0.5496537700332212,2.7853005921390617,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",7.590670009128975e-10,8.641451857740599e-07,1137.430711300569,0.0001542976940112575,0.02274148167875604,40.157986335520235,0.6123244484832561,5.7654602714138585,0.002976396239572879,0.06296971833661626,4.826013348138496,0.5036170843879579,29.59587594168567,8.738972103316826e-07,0.9969562226790144,130.22689333423176,29.90144524908778,6.507844464051299,0.5905970020818972,0.001,5.0,0.5,10.0,0.001,5.0,0.5,0.5,0.04397250865734709,0.12450823500523577,0.8165605688920528,1.7344668993006016,0.015880649086824804,1.0360518380929498,0.9928177885538697,0.01689424570454264,1.0030530701867795,0.76789054426221,0.03344319954001246,0.7683035492964705,0.8466009787341686,3,"('b_A', 'V_A', 'K_BA')",2,"('b_B', 'K_CB')",3,"('V_C', 'K_AC', 'K_BC')"
